City,Country,Latitude,Longitude,Temperature (F),Humidity (%),Wind speed (mph),Cloud coverage,Datetime
Vaini,TO,-21.2,-175.2,77.0,94,9.17,75,1592781327
Bonavista,CA,48.65,-53.11,53.42,70,18.41,97,1592781459
Salalah,OM,17.02,54.09,82.4,88,5.82,40,1592781182
Butaritari,KI,3.07,172.79,83.68,79,14.47,56,1592781057
Hobart,AU,-42.88,147.33,53.6,93,8.05,75,1592781334
Margate,GB,51.38,1.39,60.01,80,1.99,24,1592781460
Ribeira Grande,PT,38.52,-28.7,66.25,88,13.82,2,1592781039
Avarua,CK,-21.21,-159.78,77.0,57,14.99,98,1592781342
Tasiilaq,GL,65.61,-37.64,48.2,76,8.05,100,1592781035
Ushuaia,AR,-54.8,-68.3,35.6,80,5.82,31,1592781309
Khovd,MN,48.01,91.64,45.3,53,2.93,85,1592781460
Marfino,RU,55.7,37.38,57.99,87,6.71,1,1592781461
Airai,TL,-8.93,125.41,58.42,91,3.94,79,1592781043
Barrow,US,71.29,-156.79,39.2,80,14.99,90,1592781325
New Norfolk,AU,-42.78,147.06,53.01,93,3.18,100,1592781333
Sitka,US,57.05,-135.33,55.4,62,3.36,90,1592781349
Khatanga,RU,71.97,102.5,62.92,55,9.57,87,1592781215
Peace River,CA,56.25,-117.29,75.2,38,13.87,40,1592781462
Severnoye,RU,56.35,78.36,53.47,83,10.85,95,1592781462
Bluff,NZ,-46.6,168.33,39.0,83,3.0,0,1592781324
Lebu,CL,-37.62,-73.65,50.32,84,12.66,100,1592781343
Comodoro Rivadavia,AR,-45.87,-67.5,51.8,50,11.41,100,1592781302
Bambous Virieux,MU,-20.34,57.76,70.0,83,10.29,40,1592781335
Athenree,NZ,-37.47,175.92,64.0,64,8.99,69,1592781462
Punta Arenas,CL,-53.15,-70.92,35.6,93,8.05,75,1592781200
Daru,PG,-9.08,143.21,79.05,85,11.99,5,1592781189
Dongsheng,CN,39.82,109.98,63.79,62,22.59,100,1592781402
Joshīmath,IN,30.57,79.57,61.2,46,4.45,10,1592781463
Bredasdorp,ZA,-34.53,20.04,51.8,93,4.16,68,1592781331
Mataura,NZ,-46.19,168.86,39.0,83,3.0,0,1592781310
Bathsheba,BB,13.22,-59.52,84.2,79,20.8,20,1592781345
Saint-Philippe,RE,-21.36,55.77,66.2,77,6.93,43,1592781339
Chokurdakh,RU,70.63,147.92,77.65,34,12.88,0,1592781334
Fortuna,US,40.6,-124.16,63.0,87,11.41,75,1592781360
Waingapu,ID,-9.66,120.26,76.62,83,10.42,36,1592781464
Pevek,RU,69.7,170.31,45.68,76,6.4,17,1592781357
Dunedin,NZ,-45.87,170.5,37.99,91,4.0,2,1592781464
East London,ZA,-33.02,27.91,62.24,66,9.55,1,1592781329
Pangoa,PE,-12.12,-73.0,70.93,88,0.54,29,1592781368
Sakakah,SA,29.97,40.21,77.0,23,4.7,0,1592781406
Kapaa,US,22.08,-159.32,84.2,66,14.99,40,1592781335
Dawlatabad,AF,36.41,64.91,86.65,13,8.37,0,1592781465
Arraial do Cabo,BR,-22.97,-42.03,74.23,84,18.23,0,1592781063
Rikitea,PF,-23.12,-134.97,70.75,66,16.22,85,1592781325
Busselton,AU,-33.65,115.33,60.01,56,21.88,39,1592781330
Mar del Plata,AR,-38.0,-57.56,53.01,76,4.7,20,1592781345
Noshiro,JP,40.2,140.02,68.0,72,6.93,75,1592781465
Tuatapere,NZ,-46.13,167.68,39.0,83,3.0,0,1592781331
Souillac,MU,-20.52,57.52,69.8,83,10.29,40,1592781221
Mahébourg,MU,-20.41,57.7,69.8,83,10.29,40,1592781208
Saint George,US,37.1,-113.58,100.99,8,14.99,1,1592781338
Quelimane,MZ,-17.88,36.89,68.0,88,2.59,6,1592781466
Spišské Podhradie,SK,49.0,20.75,66.99,82,6.93,75,1592781466
Leningradskiy,RU,69.38,178.42,54.73,58,4.47,15,1592781222
Kumul,CN,42.8,93.45,68.67,23,8.61,21,1592781202
San Cristobal,VE,7.77,-72.22,80.6,69,11.41,75,1592781327
Ormara,PK,25.21,64.64,84.58,81,12.01,44,1592781244
Benalla,AU,-36.55,145.98,48.99,100,1.14,98,1592781466
San Juan,AR,-31.54,-68.54,51.26,46,1.74,57,1592781467
La Calera,AR,-31.34,-64.34,55.0,34,6.93,82,1592781467
Svetlaya,RU,46.54,138.33,50.86,95,7.0,100,1592781467
Lyubashivka,UA,47.84,30.26,67.14,88,2.35,89,1592781467
